student_id,last_name,first_name,section,quiz1,quiz2,quiz3,quiz4,quiz5,midterm,final,attendance_percent,final_grade,letter_grade
2024001,Smith,John,A,85.0,78.0,92.0,88.0,75.0,82.0,89.0,95.0,85.09,B
2024002,Johnson,Emily,B,91.0,89.0,85.0,94.0,80.0,88.0,92.0,98.0,89.32,B+
2024003,Williams,Michael,A,70.0,65.0,78.0,72.0,81.0,75.0,79.0,90.0,75.68,C
2024004,Brown,Sarah,C,95.0,92.0,98.0,90.0,93.0,94.0,96.0,100.0,94.54,A
2024005,Jones,David,B,60.0,70.0,68.0,75.0,62.0,65.0,69.0,85.0,67.2,D
2024006,Garcia,Maria,A,88.0,82.0,90.0,85.0,87.0,86.0,90.0,93.0,87.56,B+
2024007,Miller,Olivia,C,79.0,81.0,75.0,83.0,77.0,80.0,82.0,97.0,80.3,B-
2024008,Davis,Ethan,B,93.0,90.0,95.0,92.0,88.0,91.0,94.0,99.0,92.29,A-
2024009,Rodriguez,Sophia,A,68.0,72.0,65.0,70.0,73.0,71.0,67.0,88.0,69.04,D
2024010,Martinez,Liam,C,82.0,85.0,79.0,80.0,84.0,83.0,81.0,96.0,81.9,B-
2024011,Hernandez,Isabella,B,76.0,70.0,78.0,74.0,71.0,73.0,77.0,92.0,74.72,C
2024012,Lopez,Noah,A,90.0,88.0,91.0,87.0,89.0,89.0,90.0,94.0,89.35,B+
2024013,Gonzalez,Ava,C,55.0,60.0,58.0,62.0,59.0,57.0,61.0,80.0,59.12,F
2024014,Wilson,Lucas,B,97.0,95.0,99.0,96.0,98.0,97.0,99.0,100.0,97.7,A
2024015,Anderson,Mia,A,73.0,76.0,70.0,78.0,75.0,74.0,72.0,91.0,73.46,C
